tick_unix,tick_iso,node,presence_online,ps_received,ps_completed,ps_timed_out,ps_max_ms,ms_received,ms_completed,ms_timed_out,ms_max_ms,bk_received,bk_completed,bk_timed_out,bk_max_ms,rd_pubsub_latest,rd_pubsub_max,rd_pubsub_cap,rd_ms_latest,rd_ms_max,rd_ms_cap,rd_bk_latest,rd_bk_max,rd_bk_cap
1777322231,2026-04-27T20:37:11Z,saorsa-3,5,2274,2274,0,136,6896,6896,0,83,219,219,0,4,0,55,10000,0,0,4000,0,0,4000
1777322231,2026-04-27T20:37:11Z,saorsa-6,5,2316,2316,0,119,6895,6895,0,0,217,217,0,2,0,13,10000,0,1,4000,0,0,4000
1777322231,2026-04-27T20:37:11Z,saorsa-7,3,0,0,0,0,0,0,0,0,98,98,0,5,0,0,0,0,0,0,0,0,4000
1777322301,2026-04-27T20:38:21Z,saorsa-2,5,2159,2159,0,186,7271,7271,0,9,231,231,0,1,0,25,10000,0,1,4000,0,0,4000
1777322301,2026-04-27T20:38:21Z,saorsa-3,5,2407,2407,0,136,7197,7197,0,83,228,228,0,4,0,55,10000,0,0,4000,0,0,4000
1777322301,2026-04-27T20:38:21Z,saorsa-6,5,2449,2449,0,119,7192,7192,0,0,226,226,0,2,0,13,10000,0,1,4000,0,0,4000
1777322301,2026-04-27T20:38:21Z,saorsa-7,3,0,0,0,0,0,0,0,0,103,103,0,5,0,0,0,0,0,0,0,0,4000
1777322371,2026-04-27T20:39:31Z,saorsa-2,5,2274,2274,0,186,7573,7573,0,9,243,243,0,1,0,25,10000,0,1,4000,0,0,4000
1777322371,2026-04-27T20:39:31Z,saorsa-3,5,2496,2496,0,136,7502,7502,0,83,238,238,0,4,0,55,10000,0,0,4000,0,0,4000
1777322371,2026-04-27T20:39:31Z,saorsa-6,5,2547,2547,0,119,7494,7494,0,0,236,236,0,2,0,13,10000,0,1,4000,0,0,4000
1777322371,2026-04-27T20:39:31Z,saorsa-7,3,0,0,0,0,0,0,0,0,108,108,0,5,0,0,0,0,0,0,0,0,4000
1777322441,2026-04-27T20:40:41Z,saorsa-2,5,2385,2385,0,186,7880,7880,0,9,251,251,0,1,0,25,10000,0,1,4000,0,0,4000
1777322441,2026-04-27T20:40:41Z,saorsa-3,5,2620,2620,0,136,7810,7810,0,83,247,247,0,7,0,55,10000,0,0,4000,0,0,4000
1777322441,2026-04-27T20:40:41Z,saorsa-6,5,2665,2665,0,119,7795,7795,0,0,245,245,0,2,0,13,10000,0,1,4000,0,0,4000
1777322441,2026-04-27T20:40:41Z,saorsa-7,3,0,0,0,0,0,0,0,0,112,112,0,5,0,0,0,0,0,0,0,0,4000
1777322512,2026-04-27T20:41:52Z,saorsa-2,5,2474,2474,0,186,8185,8185,0,9,259,259,0,1,0,25,10000,0,1,4000,0,0,4000
1777322512,2026-04-27T20:41:52Z,saorsa-3,5,2714,2714,0,136,8112,8112,0,83,256,256,0,7,0,55,10000,0,1,4000,0,0,4000
1777322512,2026-04-27T20:41:52Z,saorsa-6,5,2834,2834,0,119,8097,8097,0,0,254,254,0,2,0,13,10000,0,1,4000,0,0,4000
1777322512,2026-04-27T20:41:52Z,saorsa-7,3,0,0,0,0,0,0,0,0,117,117,0,5,0,0,0,0,0,0,0,0,4000
1777322582,2026-04-27T20:43:02Z,saorsa-2,5,2553,2553,0,186,8491,8491,0,9,271,271,0,1,0,25,10000,0,1,4000,0,0,4000
1777322582,2026-04-27T20:43:02Z,saorsa-3,5,2851,2851,0,136,8415,8415,0,83,266,266,0,7,0,55,10000,0,1,4000,0,0,4000
1777322582,2026-04-27T20:43:02Z,saorsa-6,5,2930,2930,0,119,8394,8394,0,0,264,264,0,2,0,13,10000,0,1,4000,0,0,4000
1777322582,2026-04-27T20:43:02Z,saorsa-7,3,0,0,0,0,0,0,0,0,122,122,0,5,0,0,0,0,0,0,0,0,4000
1777322652,2026-04-27T20:44:12Z,saorsa-2,5,2642,2642,0,186,8795,8795,0,9,279,279,0,1,0,25,10000,0,1,4000,0,0,4000
1777322652,2026-04-27T20:44:12Z,saorsa-3,5,2991,2991,0,136,8724,8724,0,83,275,275,0,7,0,55,10000,0,1,4000,0,0,4000
1777322652,2026-04-27T20:44:12Z,saorsa-6,5,3017,3017,0,119,8695,8695,0,0,273,273,0,2,0,13,10000,0,1,4000,0,0,4000
1777322652,2026-04-27T20:44:12Z,saorsa-7,3,0,0,0,0,0,0,0,0,126,126,0,5,0,0,0,0,0,0,0,0,4000
1777322723,2026-04-27T20:45:23Z,saorsa-2,5,2726,2726,0,186,9097,9097,0,9,287,287,0,1,0,25,10000,0,1,4000,0,0,4000
1777322723,2026-04-27T20:45:23Z,saorsa-3,5,3056,3056,0,174,9029,9029,0,83,284,284,0,7,0,55,10000,0,1,4000,0,0,4000
1777322723,2026-04-27T20:45:23Z,saorsa-6,5,3160,3160,0,119,8998,8998,0,0,282,282,0,2,0,13,10000,0,1,4000,0,0,4000
1777322723,2026-04-27T20:45:23Z,saorsa-7,3,0,0,0,0,0,0,0,0,132,132,0,5,0,0,0,0,0,0,0,0,4000
1777322793,2026-04-27T20:46:33Z,saorsa-2,5,2914,2914,0,186,9405,9405,0,9,299,299,0,1,0,25,10000,0,1,4000,0,0,4000
1777322793,2026-04-27T20:46:33Z,saorsa-3,5,3305,3305,0,174,9331,9331,0,83,294,294,0,7,0,55,10000,0,1,4000,0,0,4000
1777322793,2026-04-27T20:46:33Z,saorsa-6,5,3357,3357,0,119,9295,9295,0,0,292,292,0,2,0,13,10000,0,1,4000,0,0,4000
1777322793,2026-04-27T20:46:33Z,saorsa-7,3,0,0,0,0,0,0,0,0,136,136,0,5,0,0,0,0,0,0,0,0,4000
